Country,medianHouseholdIncome,medianPerCapitaIncome,pop2020
Luxembourg,52493,18418,625.978
Norway,51489,19308,5421.241
Sweden,50514,18632,10099.265
Australia,46555,15026,25499.884
Denmark,44360,18262,5792.202
United States,43585,15480,331002.651
Canada,41280,15181,37742.154
South Korea,40861,11950,51269.185
Kuwait,40854,7487,4270.571
Netherlands,38584,14450,17134.872
New Zealand,35562,12147,4822.233
Hong Kong S.A.R. of China,35443,9705,7496.981
Austria,34911,12284,9006.398
Japan,33822,10840,126476.461
Germany,33333,14098,83783.942
Taiwan Province of China,32762,6882,23816.775
Singapore,32360,7345,5850.342
United Kingdom,31617,12399,67886.011
France,31112,12445,65273.511
Israel,30364,7847,8655.535
Belgium,26703,10189,11589.623
Qatar,26555,5117,2881.053
Slovenia,25969,8656,2078.938
Ireland,25085,8048,4937.786
Saudi Arabia,24980,4762,34813.871
Bahrain,24693,4778,1701.575
Finland,24615,15725,5540.72
Czech Republic,22913,7821,10708.981
Spain,21959,7284,46754.778
Malta,21141,6869,441.543
Italy,20085,6874,60461.826
Cyprus,18242,4932,1207.359
Greece,17777,6086,10423.054
Slovakia,17415,5455,5459.642
Croatia,16231,5177,4105.267
Portugal,16186,5519,10196.709
Poland,15338,4578,37846.611
Belarus,15085,5236,9449.323
Argentina,14432,4109,45195.774
Lebanon,13004,2960,6825.445
Estonia,12577,5031,1326.535
Hungary,12445,4493,9660.351
Lithuania,12375,4719,2722.289
Iran,12046,3115,83992.949
Russia,11724,4129,145934.462
Mexico,11680,2900,128932.753
Montenegro,11519,3123,628.066
Azerbaijan,11446,2430,10139.177
Venezuela,11299,2328,28435.94
Malaysia,11207,2267,32365.999
Ukraine,11074,3876,43733.762
Latvia,10461,4000,1886.198
Tunisia,8966,1646,11818.619
Turkey,8955,2538,84339.067
Costa Rica,8929,2032,5094.118
Serbia,8921,3020,8737.371
Macedonia,8606,1990,2083.374
Bulgaria,8487,2829,6948.445
Panama,8356,2011,4314.767
Jordan,8276,1550,10203.134
Syria,8193,1431,17500.658
Chile,8098,2040,19116.201
Uruguay,7949,2488,3473.73
Romania,7922,2618,19237.691
Algeria,7849,1392,43851.044
Brazil,7522,2247,212559.417
Kazakhstan,7492,1958,18776.707
Bosnia and Herzegovina,7383,2553,3280.819
Albania,7314,1902,2877.797
Thailand,7029,1795,69799.978
Ecuador,6858,1682,17643.054
Mauritania,6679,778,4649.658
Morocco,6634,1135,36910.56
Colombia,6544,1534,50882.891
Nicaragua,6488,1173,6624.554
Bolivia,6399,1403,11673.021
Libya,6398,1012,6871.292
Dominican Republic,6302,1623,10847.91
China,6180,1786,1439323.776
Paraguay,6179,1292,7132.538
Mongolia,5922,1440,3278.29
South Africa,5217,1217,59308.69
Peru,5161,1077,32971.854
Tajikistan,5137,713,9537.645
Iraq,4917,617,40222.493
Honduras,4848,821,9904.607
El Salvador,4828,1114,6486.205
Vietnam,4783,1124,97338.579
Guatemala,4516,898,17915.568
Moldova,4158,1329,4033.963
Afghanistan,4121,378,38928.346
Pakistan,4060,480,220892.34
Kyrgyzstan,4034,828,6524.195
Comoros,3912,598,869.601
Senegal,3897,402,16743.927
Armenia,3865,926,2963.243
Sudan,3640,579,43849.26
Botswana,3603,740,2351.627
Angola,3534,720,32866.272
Laos,3379,615,7275.56
Sri Lanka,3242,719,21413.249
Yemen,3178,400,29825.964
India,3168,616,1380004.385
Egypt,3111,623,102334.404
Bangladesh,2819,567,164689.383
Haiti,2735,627,11402.528
Nepal,2718,519,29136.808
Niger,2708,307,24206.644
Nigeria,2667,493,206139.589
Georgia,2591,734,3989.167
Philippines,2401,478,109581.078
Chad,2394,338,16425.864
Sierra Leone,2330,233,7976.983
Cambodia,2308,451,16718.965
Indonesia,2199,541,273523.615
Tanzania,2154,384,59734.218
Congo (Brazzaville),2106,416,5518.087
Cameroon,2075,403,26545.863
Ghana,2050,47,31072.94
Congo (Kinshasa),1988,308,89561.403
Mali,1983,165,20250.833
Kenya,1870,402,53771.296
Uganda,1775,296,45741.007
Burkina Faso,1530,168,20903.273
Benin,1502,237,12123.2
Zambia,1501,287,18383.955
Rwanda,1101,235,12952.218
Madagascar,1013,205,27691.018
Liberia,781,118,5057.681
Burundi,673,129,11890.784
Togo,571,279,8278.724